==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.6999	00.9992	02.8940	308.tif
45.7039	00.9994	02.9357	309.tif
45.6669	00.9948	02.8461	31.tif
45.6731	00.9993	03.3084	310.tif
45.6873	00.9997	03.1961	311.tif
45.6783	00.9994	02.9759	312.tif
45.6339	00.9957	03.0452	313.tif
45.6781	00.9990	03.5953	314.tif
45.6660	00.9996	02.8578	315.tif
45.5922	00.9985	02.8270	316.tif
45.6902	00.9997	02.9487	317.tif
45.6896	00.9992	02.5963	318.tif
45.6913	00.9975	02.9031	319.tif
45.5054	00.9954	02.7858	32.tif
45.6875	00.9979	02.4673	320.tif
45.6937	00.9979	02.4807	321.tif
45.4786	00.9943	02.1492	322.tif
45.6730	00.9870	02.4220	323.tif
45.6151	00.9908	02.8295	324.tif
45.6977	00.9968	02.7939	325.tif
45.2788	00.9881	02.7208	326.tif
45.6624	00.9862	02.6288	327.tif
45.6915	00.9913	02.8727	328.tif
45.7081	00.9901	02.6261	329.tif
45.6937	00.9921	02.6613	33.tif
45.6933	00.9867	02.4229	330.tif
45.4344	00.9918	02.2431	331.tif
45.6778	00.9988	02.2779	332.tif
45.6522	00.9980	02.5709	333.tif
45.6885	00.9826	02.4798	334.tif
45.6815	00.9860	02.8431	335.tif
45.5694	00.9961	02.2847	336.tif
45.7081	00.9942	02.4527	337.tif
45.6966	00.9954	02.5722	338.tif
45.6975	00.9979	02.7078	339.tif
45.6117	00.9937	02.2989	34.tif
45.6970	00.9983	03.3379	340.tif
45.6822	00.9994	02.6346	341.tif
45.6882	00.9983	02.8446	342.tif
45.7003	00.9981	02.8646	343.tif
45.6963	00.9960	02.5503	344.tif
45.7042	00.9975	02.7151	345.tif
45.1214	00.9926	02.6492	346.tif
45.7000	00.9877	02.3371	347.tif
45.6989	00.9975	02.8061	348.tif
45.6960	00.9964	02.4614	349.tif
45.6949	00.9959	02.6655	35.tif
45.6909	00.9985	02.6206	350.tif
45.7003	00.9905	02.9566	351.tif
45.7053	00.9980	02.5150	352.tif
45.4658	00.9967	02.9771	353.tif
45.6988	00.9986	02.7428	354.tif
45.4362	00.9965	02.5514	355.tif
45.6922	00.9978	02.5536	356.tif
45.6893	00.9968	02.5088	357.tif
45.7028	00.9910	02.2327	358.tif
45.7045	00.9929	02.7963	359.tif
45.7000	00.9981	02.5061	36.tif
45.7002	00.9932	02.6274	360.tif
45.1982	00.9936	02.2681	361.tif
45.6959	00.9977	02.3428	362.tif
45.6052	00.9970	02.8416	363.tif
45.6933	00.9968	03.1161	364.tif
45.7119	00.9943	02.7924	365.tif
45.6861	00.9910	02.3034	366.tif
45.6868	00.9940	02.4139	367.tif
45.7067	00.9975	02.6204	368.tif
