==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.2284	kodim08-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1490	kodim08-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0398	kodim08-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	04.9952	kodim08-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.9208	kodim08-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.9249	kodim08-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8277	kodim08-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.1335	kodim09-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1027	kodim09-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1158	kodim09-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0617	kodim09-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	04.9469	kodim09-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.8540	kodim09-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.8212	kodim09-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.7841	kodim09-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.1529	kodim10-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1052	kodim10-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.0516	kodim10-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	04.9787	kodim10-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	04.9636	kodim10-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.9323	kodim10-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.9224	kodim10-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.7796	kodim10-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.2883	kodim11-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1750	kodim11-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1260	kodim11-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0191	kodim11-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.0497	kodim11-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.8782	kodim11-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.8939	kodim11-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8259	kodim11-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.1958	kodim12-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1429	kodim12-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1025	kodim12-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0345	kodim12-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	04.9938	kodim12-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.8993	kodim12-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.8683	kodim12-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8414	kodim12-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.2213	kodim13-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1677	kodim13-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.0546	kodim13-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.1177	kodim13-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.0297	kodim13-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.9344	kodim13-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.9729	kodim13-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8418	kodim13-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.1843	kodim14-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1785	kodim14-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1221	kodim14-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0561	kodim14-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.0254	kodim14-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.9205	kodim14-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.8456	kodim14-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8179	kodim14-80-cc.png
00.1001	00.9999	00.0001	00.0005	00.9995	00.9995	00.9997	00.9997	05.1739	kodim15-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.2070	kodim15-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1012	kodim15-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.1593	kodim15-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.0453	kodim15-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	05.0845	kodim15-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.8926	kodim15-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8837	kodim15-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.2141	kodim16-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1805	kodim16-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1241	kodim16-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0279	kodim16-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	04.9841	kodim16-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.8890	kodim16-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.8479	kodim16-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8548	kodim16-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.1543	kodim17-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1285	kodim17-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.0452	kodim17-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.0988	kodim17-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.0878	kodim17-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	05.2059	kodim17-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	05.1613	kodim17-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8373	kodim17-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.2685	kodim18-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.2323	kodim18-20-cc.png
