AuSR,Dataset,File,TR,PSNR,SSIM,TCP,Time
1,2,23,80,24.1211,0.8928,0.7698,35.8191
1,2,24,10,38.2667,0.9824,0.0189,5.2155
1,2,24,20,32.8403,0.9647,0.0725,5.5194
1,2,24,30,29.6847,0.9395,0.1551,6.0512
1,2,24,40,27.6,0.9066,0.2595,7.0345
1,2,24,50,25.8736,0.865,0.3765,8.5102
1,2,24,60,24.1253,0.809,0.5091,11.4892
1,2,24,70,22.4772,0.7399,0.6433,17.9919
1,2,24,80,20.6598,0.65,0.7698,35.973
1,3,1,10,37.1644,0.9689,0.019,3.6398
1,3,1,20,33.3556,0.9387,0.0743,4.1211
1,3,1,30,30.2973,0.903,0.1554,4.2603
1,3,1,40,27.0069,0.8585,0.2617,4.8095
1,3,1,50,24.6176,0.8069,0.3809,5.6343
1,3,1,60,23.1723,0.7529,0.5083,7.9537
1,3,1,70,21.9789,0.7,0.643,11.2468
1,3,1,80,20.6995,0.6378,0.7697,23.8733
1,3,2,10,32.182,0.9744,0.0194,2.6136
1,3,2,20,28.2548,0.9403,0.074,2.7769
1,3,2,30,26.4403,0.9052,0.1546,3.044
1,3,2,40,24.7039,0.8622,0.2611,3.5039
1,3,2,50,23.3547,0.8165,0.3806,4.2133
1,3,2,60,22.1609,0.7684,0.5085,5.5826
1,3,2,70,20.8898,0.7115,0.6422,8.6046
1,3,2,80,19.4824,0.6431,0.7694,17.19
1,3,3,10,33.1489,0.9834,0.019,2.5621
1,3,3,20,28.9076,0.9593,0.0743,2.7527
1,3,3,30,26.1051,0.9221,0.1554,3.0303
1,3,3,40,23.9301,0.8718,0.2617,3.4972
1,3,3,50,22.1182,0.8098,0.3809,4.1727
1,3,3,60,20.4021,0.7283,0.5083,5.5679
1,3,3,70,18.4041,0.6201,0.643,8.7586
1,3,3,80,16.3207,0.4953,0.7696,17.6694
1,3,4,10,30.4251,0.9731,0.019,2.5727
1,3,4,20,25.7761,0.9406,0.0743,2.7674
1,3,4,30,22.8569,0.8967,0.1554,3.0373
1,3,4,40,20.6731,0.8388,0.2617,3.5189
1,3,4,50,18.9645,0.7729,0.3809,4.1936
1,3,4,60,17.4888,0.7006,0.5083,5.5513
1,3,4,70,16.1389,0.6186,0.643,8.6776
1,3,4,80,14.6562,0.5172,0.7697,17.5857
1,3,5,10,31.3369,0.9733,0.019,2.5833
1,3,5,20,26.7798,0.938,0.0743,2.745
1,3,5,30,24.1826,0.8963,0.1554,3.0513
1,3,5,40,21.8095,0.8383,0.2617,3.4895
1,3,5,50,19.99,0.7683,0.3809,4.1955
1,3,5,60,18.3599,0.6839,0.5083,5.542
1,3,5,70,16.7384,0.5777,0.643,8.8894
1,3,5,80,15.0701,0.4549,0.7697,17.6966
1,3,6,10,30.2869,0.9629,0.019,2.6579
1,3,6,20,26.7146,0.9193,0.0743,2.7951
1,3,6,30,24.7716,0.8687,0.1554,3.081
1,3,6,40,23.2607,0.8142,0.2617,3.5547
1,3,6,50,22.1768,0.7597,0.3809,4.306
1,3,6,60,21.1662,0.6976,0.5083,5.6962
1,3,6,70,19.9786,0.6225,0.643,8.9177
1,3,6,80,18.6515,0.5408,0.7697,18.1278
1,3,7,10,31.5886,0.9818,0.019,2.6709
1,3,7,20,26.4029,0.9497,0.0743,2.8807
1,3,7,30,23.473,0.9057,0.1554,3.0941
1,3,7,40,21.2783,0.8451,0.2617,3.5402
1,3,7,50,19.3468,0.7683,0.3809,4.3076
1,3,7,60,17.6079,0.6738,0.5083,5.7173
1,3,7,70,15.8998,0.5536,0.6429,8.9084
1,3,7,80,14.2939,0.4211,0.7697,17.9406
1,3,8,10,32.2711,0.9766,0.019,2.6508
1,3,8,20,28.2139,0.9514,0.0743,2.7493
1,3,8,30,26.1956,0.9224,0.1554,3.0281
1,3,8,40,24.6944,0.8882,0.2616,3.5175
1,3,8,50,23.0647,0.8436,0.3809,4.2097
1,3,8,60,21.6445,0.7882,0.5083,5.6231
1,3,8,70,19.9201,0.7151,0.643,8.7866
1,3,8,80,18.2857,0.6348,0.7697,17.6772
1,3,9,10,34.6452,0.9824,0.0194,2.6994
1,3,9,20,31.6442,0.9698,0.074,2.859
1,3,9,30,29.8235,0.9554,0.1545,3.1048
1,3,9,40,28.2469,0.9379,0.2611,3.5413
1,3,9,50,26.926,0.9179,0.3806,4.2392
1,3,9,60,25.6245,0.8937,0.5085,5.5762
1,3,9,70,24.2269,0.8622,0.6422,8.5826
1,3,9,80,22.5879,0.8194,0.7694,17.2406
1,3,10,10,31.753,0.972,0.019,3.2615
1,3,10,20,28.0329,0.9425,0.0743,3.4911
1,3,10,30,25.6138,0.901,0.1554,3.6247
1,3,10,40,23.8261,0.8526,0.2617,4.4253
1,3,10,50,22.1371,0.7923,0.3809,5.5514
1,3,10,60,20.6556,0.719,0.5083,7.6037
1,3,10,70,19.2378,0.6334,0.643,11.224
1,3,10,80,17.6062,0.5361,0.7697,23.7084
1,3,11,10,37.0861,0.9824,0.019,3.024
1,3,11,20,33.3636,0.9582,0.0743,3.8298
1,3,11,30,30.5341,0.9241,0.1554,4.054
1,3,11,40,28.1727,0.8779,0.2617,4.6016
1,3,11,50,26.256,0.8215,0.3809,5.9038
1,3,11,60,24.3694,0.7467,0.5083,7.465
1,3,11,70,22.4116,0.6523,0.643,10.4371
1,3,11,80,20.2797,0.5408,0.7697,22.8305
1,3,12,10,31.9437,0.9718,0.019,3.443
1,3,12,20,28.6159,0.9402,0.0743,3.4319
1,3,12,30,26.632,0.9036,0.1554,4.1455
1,3,12,40,24.987,0.859,0.2616,4.3496
1,3,12,50,23.5287,0.812,0.3809,5.5721
1,3,12,60,22.3082,0.7566,0.5083,7.2252
1,3,12,70,21.0966,0.6958,0.643,12.5
1,3,12,80,19.9261,0.6291,0.7697,22.4731
1,3,13,10,32.0881,0.9774,0.019,2.6552
1,3,13,20,28.3265,0.9495,0.0743,2.8096
1,3,13,30,26.3905,0.9167,0.1554,3.1243
1,3,13,40,24.8135,0.876,0.2617,3.548
1,3,13,50,23.3294,0.8277,0.3809,4.3153
1,3,13,60,21.909,0.7669,0.5083,5.7094
1,3,13,70,20.0597,0.6839,0.643,9.0045
1,3,13,80,18.4532,0.5915,0.7697,18.0919
1,3,14,10,31.632,0.9745,0.019,2.5617
