AuSR,Dataset,File,TR,ATR,TPR,FNR,FPR,TNR,Precision,F1Score,Accuracy,Time
1,3,2,20,0.2003,1,0,0.004,0.996,0.996,0.998,0.998,3.4039
1,3,2,30,0.2991,1,0,0.003,0.997,0.997,0.9985,0.9985,2.6512
1,3,2,40,0.4005,1,0,0.0069,0.9931,0.9932,0.9966,0.9966,3.1241
1,3,2,50,0.5008,1,0,0.0074,0.9926,0.9927,0.9963,0.9963,2.5446
1,3,2,60,0.5997,1,0,0.0088,0.9912,0.9912,0.9956,0.9956,3.3769
1,3,2,70,0.6988,1,0,0.0181,0.9819,0.9822,0.991,0.9909,2.8312
1,3,2,80,0.799,1,0,0.0116,0.9884,0.9885,0.9942,0.9942,2.9718
1,3,3,10,0.0997,1,0,0.0009,0.9991,0.9991,0.9995,0.9995,2.4518
1,3,3,20,0.2003,1,0,0.004,0.996,0.996,0.998,0.998,3.0788
1,3,3,30,0.2991,1,0,0.003,0.997,0.997,0.9985,0.9985,3.3513
1,3,3,40,0.4005,1,0,0.0069,0.9931,0.9932,0.9966,0.9966,3.1163
1,3,3,50,0.5008,1,0,0.0074,0.9926,0.9927,0.9963,0.9963,2.7828
1,3,3,60,0.5997,1,0,0.0088,0.9912,0.9913,0.9956,0.9956,2.6215
1,3,3,70,0.6988,1,0,0.0181,0.9819,0.9822,0.991,0.9909,2.5532
1,3,3,80,0.799,1,0,0.0115,0.9885,0.9886,0.9943,0.9942,2.4218
1,3,4,10,0.0997,1,0,0.0009,0.9991,0.9991,0.9995,0.9995,3.2243
1,3,4,20,0.2003,1,0,0.004,0.996,0.996,0.998,0.998,3.0201
1,3,4,30,0.2991,1,0,0.003,0.997,0.997,0.9985,0.9985,2.7811
1,3,4,40,0.4005,1,0,0.0069,0.9931,0.9932,0.9966,0.9966,3.5455
1,3,4,50,0.5008,1,0,0.0074,0.9926,0.9927,0.9963,0.9963,2.7292
1,3,4,60,0.5997,1,0,0.0088,0.9912,0.9912,0.9956,0.9956,2.527
1,3,4,70,0.6988,1,0,0.0181,0.9819,0.9822,0.991,0.9909,2.7666
1,3,4,80,0.799,1,0,0.0116,0.9884,0.9885,0.9942,0.9942,2.6564
1,3,5,10,0.0997,1,0,0.0009,0.9991,0.9991,0.9995,0.9995,3.0324
1,3,5,20,0.2003,1,0,0.004,0.996,0.996,0.998,0.998,2.8288
1,3,5,30,0.2991,1,0,0.003,0.997,0.997,0.9985,0.9985,2.5296
1,3,5,40,0.4005,1,0,0.0069,0.9931,0.9932,0.9966,0.9966,2.3813
1,3,5,50,0.5008,1,0,0.0074,0.9926,0.9927,0.9963,0.9963,2.9083
1,3,5,60,0.5997,1,0,0.0088,0.9912,0.9913,0.9956,0.9956,2.301
1,3,5,70,0.6988,1,0,0.0181,0.9819,0.9822,0.991,0.9909,2.8661
1,3,5,80,0.799,1,0,0.0116,0.9884,0.9885,0.9942,0.9942,2.4584
1,3,6,10,0.0997,1,0,0.0009,0.9991,0.9991,0.9995,0.9995,3.034
1,3,6,20,0.2003,1,0,0.004,0.996,0.996,0.998,0.998,2.7207
1,3,6,30,0.2991,1,0,0.003,0.997,0.997,0.9985,0.9985,2.6397
1,3,6,40,0.4005,1,0,0.0069,0.9931,0.9932,0.9966,0.9966,3.1529
1,3,6,50,0.5008,1,0,0.0074,0.9926,0.9927,0.9963,0.9963,2.7089
1,3,6,60,0.5997,1,0,0.0088,0.9912,0.9912,0.9956,0.9956,2.3031
1,3,6,70,0.6988,1,0,0.0181,0.9819,0.9822,0.991,0.9909,2.708
1,3,6,80,0.799,1,0,0.0116,0.9884,0.9885,0.9942,0.9942,2.8529
